CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2015/02/005514,A bioequivalence study of Capecitabine tablets in adult human cancer patients.,BA/BE,"Total: Not Applicable
Indian: Completed",Adult human cancer patients,"Capecitabine Tablets 500 mgof Shilpa Medicare Limited, India","Baraskar Hospital and Research Center,MAHARASHTRA

BIBI General Hospital & Cancer center ,ANDHRA PRADESH

Central India Cancer Research Institute,MAHARASHTRA

City Cancer centre,ANDHRA PRADESH

Government Medical College and Hospital,MAHARASHTRA

Maharashtra Medical Foundation Joshi Hospital,MAHARASHTRA

Meenakshi Mission Hospital & Research Centre,TAMIL NADU

Srinivasam cancer care hospitals India Pvt Ltd,KARNATAKA

SS Hospital & Research Centre,BIHAR

United CIIGMA Institute of medical Science Private limited,MAHARASHTRA

Vintage Hospital & Medical Research Centre Pvt Ltd, ,GOA"
CTRI/2015/02/005491,SMS alerts to reduce toxicity and improve treatment compliance in cancer chemotherapy: A clinical trial,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants","Malignant neoplasm of stomach, unspecified

Stomach and Colorectal cancer patients on chemotherapy",Text message (SMS),"Tata Medical Center,WEST BENGAL"
CTRI/2015/05/005790,Antibiotics in oral cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Patients with operable oral cancer,Short Course Antibiotics,"Tata Memorial Centre,MAHARASHTRA"
CTRI/2015/02/005542,"Assess the safety & bioequivalence between (Test)Doxorubicin Hydrochloride Liposome Injection 2 mg/mL (50 mg/m2 dose) of SPIL and (Reference) Caelyx , Liposome Injection 2 mg/ml (50 mg/m2 dose) of Janssen-Cilag, in patients with metastatic breast cancer/advanced ovarian cancer, under fed conditions",BA/BE,"Total: Not Applicable
Indian: Completed",Patients with metastatic breast cancer/advanced ovarian cancer,Doxorubicin Hydrochloride Liposome Injection 2mg/mL (50 mg/m2 dose),"Basavatarakam Indo American Cancer Hospital and Research Institute,ANDHRA PRADESH

BIBI General hospital & Cancer Centre,ANDHRA PRADESH

Dr.G.Viswanathan Speciality Hospitals,TAMIL NADU

Erode Cancer Centre Pvt. Ltd.,TAMIL NADU

Gurushree Hi-Tech Multi-Specialty Hospital,KARNATAKA

Karnataka Cancer Hospital & Research Centre,KARNATAKA

Mahatma Gandhi Cancer Hospital & Research Institute,ANDHRA PRADESH

Mohan Hospital ,UTTAR PRADESH

N.R.R Hospital,KARNATAKA

Shri Ram Hospital ,RAJASTHAN"
CTRI/2015/03/005648,A study for EGFR testing in lung cancer patients.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Patients of Lung Cancer,Not Applicable,"Tata Memorial Hospital ,MAHARASHTRA"
CTRI/2015/04/005667,Bioequivalence study of Doxorubicin Hydrochloride (Pegylated liposomal)concentrate for solution for infusion 20 mg/10mL (2 mg/ml)in advanced ovarian cancer and/or metastatic breast cancer patients under fed condition.,BA/BE,"Total: Not Applicable
Indian: Suspended","Advanced ovarian cancer and/or metastatic breast cancer patients

Malignant neoplasm of breast of unspecified site

Malignant neoplasm of unspecifiedovary",Doxorubicin Hydrochloride (Pegylated liposomal) concentrate for solution for infusion 20 mg/10mL (2 mg/ml),"Apple Hospital,GUJARAT

Asirvatham Speciality Hospital,TAMIL NADU

B. P. Poddar Hospital & Medical Research ,WEST BENGAL

Baraskar Hospital and Research Centre,MAHARASHTRA

Chittaranjan National Cancer Institute,WEST BENGAL

City Cancer Centre,ANDHRA PRADESH

Curie Manavata Cancer Centre,MAHARASHTRA

Dr. GVN Cancer Institute,TAMIL NADU

Health Point Multispeciality Hospital,WEST BENGAL

Kailash Cancer Hospital & Research Centre,GUJARAT

Maharashtra Medical Foundation Joshi Hospital,MAHARASHTRA

Prashanth Hospital,KARNATAKA

Shree Giriraj Multispeciality Hospital,GUJARAT

Sri Ramachandra Medical Centre ,TAMIL NADU

Srinivasam Cancer Care Hospitals India Pvt. Ltd,KARNATAKA"
CTRI/2015/03/005653,"A randomized, open label, multi centric, 2 treatment, 2 period, 2 sequence, single dose, crossover, BE study of Paclitaxel protein-bound particles for injectable suspension 100mg/vial and Abraxane 100mg/vial (Albumin bound Paclitaxel 260mg/m2) IV infusion in patients with metastatic breast cancer",Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Breast Cancer,Paclitaxel protein-bound particles for injectable suspension (albumin-bound) 100 mg/vial,"BIBI General Hospital and Cancer Centre,ANDHRA PRADESH

City Cancer Centre,ANDHRA PRADESH

Dr. Rai Memorial Medical Centre,TAMIL NADU

GVN Cancer Institute (a Unit of GVN Hospital),TAMIL NADU

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

Noble Hospital,MAHARASHTRA

Sparsh Hospital and Critical Care,ORISSA

Sri Venkateshwara Hospital,KARNATAKA

Srinivasan Cancer Care Hospital,KARNATAKA"
CTRI/2018/02/011842,DOES THE KNOWLEDGE OF THEIR DIAGNOSIS AFFECT QUALITY OF LIFE OF CANCER PATIENTS?,Observational,"Total: Not Applicable
Indian: Completed",Cancer patients,,"Palliative Care Department OPD, Bangalore Baptist Hospital ,KARNATAKA"
CTRI/2017/10/010064,A clinical trial to study the effect of tranexaemic acid in head neck surgeries,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of parotid gland

Patients suffering with different head and neck cancers and fit to undergo surgery

Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes",Tranexaemic acid,"Indira Gandhi Medical College and Hospital,HIMACHAL PRADESH"
CTRI/2015/07/006016,A study to see the effect of 2 chemotherapy drugs- Cyclophosphamide and Methotrexate when given in a low dose form in women having Metastatic Triple Negative Breast cancer,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Women with metastatic triple negative breast cancer,cyclophosphamide and methotrexate,"Jehangir Clinical Development Centre Pvt Ltd.,MAHARASHTRA"
CTRI/2015/05/005766,A Study of Pertuzumab in Combination with Trastuzumab and Docetaxel in Treatment of Indian Patients with Her2-positive Breast Cancer.,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants","The target population for this study is male or female patients with HER2-positive advanced breast cancer (locally recurrent, unresectable, or metastatic).","PERTUZUMAB, TRASTUZUMAB, DOCETAXEL","(A unit of Balaji Medical & Diagnostic Research Centre),DELHI

Basavatarakam Indo-American Cancer Hospital and Research Institute,ANDHRA PRADESH

Birla Cancer Centre, SMS Medical College Hospital,RAJASTHAN

Christian Medical College,TAMIL NADU

Jehangir Clinical Development Center Pvt. Ltd.,MAHARASHTRA

Kokilaben Dhirubhai Ambani Hospital and Medical Research Institute,MAHARASHTRA

M S Ramaiah Medical College and Hospital,KARNATAKA

Max Super Speciality Hospital, (a unit of Devki Devi Foundation),DELHI

Meenakshi Mission Hospital & Research Centre,TAMIL NADU

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Tata Medical Center,WEST BENGAL

Tata Memorial Centre,MAHARASHTRA"
CTRI/2015/05/005789,A Study of Trastuzumab in combination with chemotherapy in early Breast Cancer,Interventional,"Total: Not Applicable
Indian: Completed","HER2 POSITIVE, NODE POSITIVE OR HIGH RISK NODE NEGATIVE BREAST CANCER

Malignant neoplasm of breast","Trastuzumab Docetaxel / Paclitaxel Doxorubicin, Cyclophosphamide Carboplatin","Dr. GVN Cancer Institute ,TAMIL NADU

Jehangir Clinical Development Centre Private Limited,MAHARASHTRA

Manipal Hospital,KARNATAKA

Max Super Speciality Hospital (A unit of Balaji Medical and Diagnostic Research Centre),DELHI

Rajiv Gandhi Cancer Institute and Research Center,DELHI

Yashoda Hospitals,ANDHRA PRADESH"
CTRI/2016/03/006719,Patient referral to Pain clinic,Observational,"Total: Not Applicable
Indian: Completed","Neoplasms

Patients suffering from cancer pain & referred to the pain clinic at Tata memorial Hospital",NIL,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/09/006192,EFFECTIVENESS OF A NURSING INTERVENTION PROGRAMME(NURSE NAVIGATOR PROGRAMME) IN BREAST CANCER PATIENTS,Interventional,"Total: Not Applicable
Indian: Completed","BREAST CANCER

Neoplasms",NURSE NAVIGATOR PROGRAMME (NNP),"KASTURBA HOSPITAL,MANIPAL,KARNATAKA"
CTRI/2017/05/008651,EGFR testing (A molecular test) in advanced Lung cancer in patients treated with radiation therapy.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Advanced Lung cancer patients,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/06/005896,A prospective clinical study of ready-to-use therapeutic supplement food compared with standard therapy to see its benefits in management of cancer-related under-nutrition in children.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Newly registered treatment naÃ¯ve malnourished children diagnosed with cancer.,NA,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2017/12/010918,Analysis of patients with lung cancer with compramised performance status,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Lung Cancer Patients,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/09/006215,Assessment of Quality of life in Lung Cancer Patients,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Lung cancer Patients,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2017/05/008491,Analysis of Esophageal cancer patients who have received chemotherapy before Surgery,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Esophageal Cancer Patients,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/06/005851,Effect of nutrition on quality of life in advanced cancer patients.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Eligible cancer patients attending Palliative Care clinic will be recruited,,"AIIMS New Delhi,DELHI"
CTRI/2016/01/006485,Study of Capecitabine and Cyclophosphamide Administered as a Single Pill in Patients with Advanced Breast Cancer,Interventional,"Total: Not Applicable
Indian: Other (Terminated)","Breast Cancer

Malignant neoplasm of breast of unspecified site",SAR439281,"B.P. Poddar Hospital & Medical,WEST BENGAL

Birla Cancer Center,RAJASTHAN

Christian Medical College ,TAMIL NADU

Fortis Memorial Research Institute,HARYANA

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Regional Cancer Centre,KERALA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/09/006170,Complications Of Tracheal Intubation In Critically Ill Pediatric Cancer Patients,Observational,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Pediatric criically ill cancer patients,,"Tata Memorial hospital, parel, Mumbai,MAHARASHTRA"
CTRI/2017/05/008490,Analysis of Gefitinib(Drug) in lung cancer.,Observational,"Total: Not Applicable
Indian: Completed",Lung Cancer Patients,Not Applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/07/005998,Screening log for patients referred for Re-Radiation in Head and Neck cancers,Observational,"Total: Not Applicable
Indian: Completed",All patients with head and neck cancers who are referred for re-radiation,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/06/005848,A study to compare efficacy of cabazitaxel versus Docetaxel in recurrent head & neck cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Patients with recurrent Head & Neck cancers,Cabazitaxel,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/07/006012,Determine the problems and ways of problem solving used by the mothers with children suffering in cancer.,Observational,"Total: Not Applicable
Indian: Completed",Physically mentally Healthy Mothers of children with cancer,,"Father Muller Medical College Hospital,KARNATAKA"
CTRI/2016/12/007575,A study to evaluate a mutation test (A test performed on the tumor block) in lung cancer patients who are taking gefitinib medicine.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Lung Cancer Patients,Not applicable,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/06/005943,"To determine the effectiveness of CANScript, the anti-cancer drug sensitivity test in determining the most optimal drug combination for a cancer patient",Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Neoadjuvant Head & Neck cancer or Triple Negative breast cancer,,"Tata Memorial Hospital, Mumbai,MAHARASHTRA"
CTRI/2015/06/005900,"An Audit of Thrombotic Events Occurring in Pediatric Oncology Patients and their Causes, Management and Outcomes",Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Cancer,NIL,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2016/08/007179,A clinical trial to study efficacy and safety of pulsed radiofrequency as treatment of oral cancer pain.,Interventional,"Total: Not Applicable
Indian: Completed",Cancer pain involving glossopharyngeal nerve in a case of oropharyngeal carcinoma with no curative intervention planned,Pulsed Radiofrequency Ablation,"Post Graduate Institute of Medical Education & Research,CHANDIGARH"
CTRI/2018/02/011812,Effect of good bacteria(Probiotics) on oral thrush in patients who got radiation treatment in Head and Neck cancers,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of overlappingsites of lip, oral cavity and pharynx

Patients who are undergoing Head & Neck Radiotheraphy for cancer",Probiotics,"HCG-City Cancer center,ANDHRA PRADESH"
CTRI/2018/05/014337,use of muscle flap in reducing leak rate after radiation therapy and surgery for larynx cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Patients suffering from laryngeal cancer,PMMF ARM,"AIIMS(All India Institute Of Medical Sciences),DELHI

Dr. B. Borooah Cancer Institute,ASSAM

Homi Bhabha Cancer Hospital & Research Centre,ANDHRA PRADESH

Kolhapur Cancer centre,MAHARASHTRA

Mahamana Pandit Madan Mohan Malviya Cancer,UTTAR PRADESH

Medica Superspeciality Hospital,WEST BENGAL

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2017/02/007902,"A quasi experimental study to assess efficacy of Progressive Muscle Relaxation on Anxiety, Fatigue and Quality of Sleep among Cancer patients undergoing Radiation Therapy in Outpatient department of Christian Medical College, Vellore.",Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Cancer Patients undergoing Radiation Therapy,Progressive Muscle Relaxation,"Christian Medical College , Radiation Therapy Out Patient Department,TAMIL NADU"
CTRI/2015/11/006381,To evaluate the role of Hydroxy-progesterone in prevention of chemotherapy induced neurotoxicity in women with breast cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Postmenopausal Nonmetastatic Breast Cancer Patients,Injection Hydroxyprogesterone,"Tata Memorial Centre,MAHARASHTRA"
CTRI/2015/08/006109,"Safety, tolerability and efficacy of bevacizumab (Zydus Cadila) in nonsmall cell lung cancer (NSCLC)",Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of unspecifiedpart of bronchus or lung

non-squamous non-small cell lung cancer",Bevacizumab (Test-Zydus),"Acharya Tulsi Regional Cancer Treatment and Research Institute,RAJASTHAN

Apple Hospital,GUJARAT

Asian Cancer Research Institute,RAJASTHAN

BAPS Pramukhswami Hospital,GUJARAT

CIMS Hospital,GUJARAT

Curie Manavata Cancer Centre,MAHARASHTRA

Department of Medical Oncology,DELHI

Department of medical oncology AIMS,DELHI

Department of Oncology,PUNJAB

Department of Radiology King Georges Medical University,UTTAR PRADESH

Department of Radiotherapy,WEST BENGAL

HCG Cancer Centre,GUJARAT

Healthcare Global Enterprises Limited,KARNATAKA

Institute of Respiratory Diseases,RAJASTHAN

IPGME&R, SSKM,WEST BENGAL

IPGME&R, SSKM,WEST BENGAL

Malpani Multispeciality Hospital,RAJASTHAN

Mandhaniya cancer Hospital and Research Institute,MAHARASHTRA

Om Research Centre,UTTAR PRADESH

Sanjeevani CBCC Cancer Hospital,CHHATTISGARH

Soni Hospital,RAJASTHAN

Sreenivasam Cancer Care Hospital,KARNATAKA

Sri Venkateshwara Hospital,KARNATAKA

Sudbhawna Hospital,UTTAR PRADESH

Supe Heart and diabetes Hospital and Research Centre,MAHARASHTRA

The Gujarat Cancer and Research Institute,GUJARAT

Unique hospital Multispeciality and Research Institute,GUJARAT

VGM Cancer Care,TAMIL NADU"
CTRI/2016/01/006520,A study to compare intravenous Iron with oral iron in treatment of cancer related anaemia.,Interventional,"Total: Not Applicable
Indian: Completed",Patients with cancer who requires chemotherapy,Inj Iron Sucrose,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2015/08/006113,A study to test the efficacy and safety of drugs Pemetrexed and Platinum vs Tablet Gefitinib in Lung Cancer Patients,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Lung Cancer patients,Gefitinib,"Tata Memorial Hospital,MAHARASHTRA"
